"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
1,"04025003003410022","04","03","00341","0022",3,1,716,1,2,0.8,0.8,6500,19500,1,60,300,25,75,1,1,1,1,1,0.8,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,30,3,NA,NA,1,NA,NA,10,3,10,3,10,3,1,2,NA,NA,1,40,5,4,45,5,4,140,5,4,60,5,4,NA,NA,716,60,NA,NA,NA,1,52.7379227963236
2,"04025063000993697","04","63","00099","3697",1,1,716,1,12,1.75,1.75,120000,1478000,3,50000,25,NA,100,1,1,1,1,1,1.75,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,57.6,3,5702.4,1,1,NA,NA,5184,2,NA,NA,3456,2,1,1,276,5,1,NA,NA,NA,84,5,4,240,5,3,136.8,5,3,NA,NA,716,NA,NA,50000,NA,1,1
3,"04035063000993814","04","63","00099","3814",1,1,716,1,9,11,11,825000,8400000,2,28000,300,NA,100,1,1,1,1,1,11,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,10000,1,1,NA,NA,24000,2,20000,2,37500,2,1,1,60,5,1,NA,NA,NA,40,5,4,200,2,4,80,5,2,NA,NA,716,NA,28000,NA,NA,1,1
4,"04035363000993849","04","63","00099","3849",1,1,716,1,14,4,4,283000,1945582,2,5675,300,8,92,1,1,1,1,1,4,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,8,4,NA,NA,1,NA,NA,25000,2,1050,2,4375,2,1,2,NA,NA,1,34,5,4,96,5,4,400,5,4,421,5,4,NA,NA,716,NA,5675,NA,NA,1,1
5,"04045001062760003","04","01","06276","0003",1,1,716,1,8,5.5,5.5,440000,4488000,1,10996,400,5,95,1,1,1,1,1,5.5,NA,NA,NA,100,NA,NA,NA,1,1,605,3,NA,NA,26400,1,1,14000,2,NA,NA,NA,NA,NA,NA,1,1,286,5,1,NA,NA,NA,39.5,5,3,158,5,2,46.2,5,2,NA,NA,716,10996,NA,NA,NA,1,11.3909795055463
6,"05015063000993646","05","63","00099","3646",3,1,716,1,4,0.2,0.2,20000,80000,3,3168,25,40,60,1,1,1,1,1,0.2,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,90,1,1,7,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,7,5,3,7,5,3,NA,NA,NA,0,0,716,NA,NA,3168,NA,1,1
7,"05015063000993778","05","63","00099","3778",1,1,716,1,22,14.5,14.5,2e+06,3e+07,3,1104000,25,0,100,1,1,1,1,1,14.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,70000,2,10000,1,1,NA,NA,35000,2,18000,2,49000,2,1,2,NA,NA,1,NA,NA,NA,1000,5,3,1100,5,3,1000,5,3,20,0,716,NA,NA,1104000,NA,1,1
8,"05015101098560007","05","01","09856","0007",1,1,716,1,4,0.7,0.7,120000,1344000,3,53760,25,NA,100,1,1,1,1,1,0.7,NA,NA,NA,100,NA,NA,NA,1,1,160,2,80,2,NA,NA,1,NA,NA,48,3,4.8,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,21.6,5,2,12,5,2,NA,NA,NA,NA,NA,716,NA,NA,53760,NA,1,75.3316449528436
9,"05015101098560007","05","01","09856","0007",2,2,716,1,2,0.5,0.5,110000,1209600,3,48384,25,NA,100,1,1,1,1,1,0.5,NA,NA,NA,100,NA,NA,NA,1,1,160,2,30,2,NA,NA,1,NA,NA,48,3,43.8,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,20,5,3,12,5,3,NA,NA,NA,NA,NA,716,NA,NA,48384,NA,1,44.571938478401
10,"05015163000993612","05","63","00099","3612",2,1,716,1,10,12,12,1020000,4e+06,1,11973,300,NA,100,1,1,1,1,1,12,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,12600,2,12600,2,12600,2,1,2,NA,NA,1,NA,NA,NA,190,5,2,190,5,2,190,5,2,0,0,716,11973,NA,NA,NA,1,1
11,"05015163000993647","05","63","00099","3647",2,1,716,1,10,0.4,0.4,30000,240000,3,8640,25,10,90,1,1,1,1,1,0.4,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10,2,NA,NA,1,NA,NA,50,2,50,2,50,2,1,2,NA,NA,1,NA,NA,NA,25,5,2,30,5,3,NA,NA,NA,0,0,716,NA,NA,8640,NA,1,1
12,"05015163000993651","05","63","00099","3651",2,1,716,1,10,10,10,850000,3400000,1,10200,300,NA,100,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,10500,2,10500,5,10500,2,1,2,NA,NA,1,NA,NA,NA,160,5,2,160,5,2,160,5,3,0,0,716,10200,NA,NA,NA,1,1
13,"05015163000993656","05","63","00099","3656",1,1,716,1,7,13,13,6e+05,8400000,1,19950,400,NA,100,1,1,1,1,1,13,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,4000,2,12,1,1,NA,NA,13000,2,12217,2,360,2,1,2,NA,NA,1,NA,NA,NA,157,2,2,300,2,2,150,2,4,0,0,716,19950,NA,NA,NA,1,1
14,"05015163000993657","05","63","00099","3657",2,1,716,1,5,1.6,1.6,2e+05,1320000,3,47520,25,10,90,1,1,1,1,1,1.6,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,6800,2,6800,2,6800,2,1,2,NA,NA,1,NA,NA,NA,120,1,4,120,1,4,120,1,3,0,0,716,NA,NA,47520,NA,1,1
15,"05015163000993686","05","63","00099","3686",2,1,716,1,4,1.2,1.2,120000,480000,3,17280,25,10,90,1,1,1,1,1,1.2,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,192,1,1,NA,NA,2160,2,2160,2,2160,2,1,2,NA,NA,1,NA,NA,NA,50,5,2,96,5,3,72,5,3,5,3,716,NA,NA,17280,NA,1,1
16,"05015163000993776","05","63","00099","3776",2,1,716,1,10,6.5,6.5,547368,2189472,1,6568,300,NA,100,1,1,1,1,1,6.5,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,7000,2,7000,2,7000,2,1,2,NA,NA,1,NA,NA,NA,102,5,2,102,5,2,102,5,3,0,0,716,6568,NA,NA,NA,1,1
17,"05015163000993847","05","63","00099","3847",2,1,716,1,3,3,3,240000,960000,3,37632,25,10,90,1,1,1,1,1,3,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,780,1,1,NA,NA,500,2,500,2,500,2,1,2,NA,NA,1,7,5,4,105,5,2,510,5,3,200,5,3,0,0,716,NA,NA,37632,NA,1,1
18,"05015163000993848","05","63","00099","3848",2,1,716,1,11,1,1,80000,320000,3,11520,25,10,90,1,1,1,1,1,1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,20,2,NA,NA,1,NA,NA,100,2,100,2,100,2,1,2,NA,NA,1,NA,NA,NA,50,5,2,50,5,3,NA,NA,NA,0,0,716,NA,NA,11520,NA,1,1
19,"05015163000993962","05","63","00099","3962",2,1,716,1,13,2.1,2.1,160000,288000,1,864,300,20,80,1,1,1,1,1,2.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,1200,1,1,NA,NA,48,3,48,3,48,3,1,2,NA,NA,1,5,5,4,100,5,2,200,5,3,100,5,4,0,0,716,864,NA,NA,NA,1,1
